2022-01-26 12:08:54.994904 (1.0, 500000.0, 7, 10.0, [[0.72, 0.03], [0.72, 0.03]], 0.99, 0.0, 3) [0.07666629387621014 6.8254637080291394] 1
2022-01-26 12:09:04.472163 (1.0, 500000.0, 7, 10.0, [[0.75, 0.03], [0.75, 0.03]], 0.99, 0.0, 3) [0.06898719459780103 7.5371328130200874] 1
2022-01-26 12:12:16.988200 (1.0, 500000.0, 7, 10.0, [[0.57, 0.03], [0.57, 0.03]], 0.99, 0.0, 3) [0.14544004901487276 3.4899538734954016] 1
2022-01-26 12:12:52.133786 (1.0, 500000.0, 7, 10.0, [[0.63, 0.03], [0.63, 0.03]], 0.99, 0.0, 3) [0.11178488437573195 4.7403157761915633] 1
2022-01-26 12:14:20.057695 (1.0, 500000.0, 6, 10.0, [[0.75, 0.03], [0.75, 0.03]], 0.99, 0.0, 3) [0.09363676719506671 5.4551986157002927] 1
2022-01-26 12:14:34.925592 (1.0, 500000.0, 6, 10.0, [[0.64, 0.03], [0.64, 0.03]], 0.99, 0.0, 3) [0.14234945469025523 3.4958388751005951] 1
2022-01-26 12:14:44.584990 (1.0, 500000.0, 6, 10.0, [[0.66, 0.03], [0.66, 0.03]], 0.99, 0.0, 3) [0.13095340792730842 3.8489825197750074] 1
2022-01-26 12:15:04.922578 (1.0, 500000.0, 7, 10.0, [[0.71, 0.03], [0.71, 0.03]], 0.99, 0.0, 3) [0.07980184827384768 6.5684939575157788] 1
2022-01-26 12:15:11.082896 (1.0, 500000.0, 7, 10.0, [[0.7, 0.03], [0.7, 0.03]], 0.99, 0.0, 3) [0.08443090316871843 6.332212946959431] 1
2022-01-26 12:15:33.429596 (1.0, 500000.0, 6, 10.0, [[0.73, 0.03], [0.73, 0.03]], 0.99, 0.0, 3) [0.10122169145676745 5.0902035662684915] 1
2022-01-26 12:25:25.812851 (1.0, 500000.0, 10, 10.0, [[0.61, 0.03], [0.61, 0.03]], 0.99, 0.0, 3) [0.060368435776045525 9.1846646470382769] 1
2022-01-26 12:25:48.848347 (1.0, 500000.0, 10, 10.0, [[0.65, 0.03], [0.65, 0.03]], 0.99, 0.0, 3) [0.04986004957916285 10.875949051608785] 1
2022-01-26 12:26:25.278837 (1.0, 500000.0, 10, 10.0, [[0.72, 0.03], [0.72, 0.03]], 0.99, 0.0, 3) [0.03813731858681483 14.01345126462334] 1
2022-01-26 12:34:52.009394 (1.0, 500000.0, 8, 10.0, [[0.62, 0.03], [0.62, 0.03]], 0.99, 0.0, 3) [0.09050770079149512 6.0895800328940695] 1
2022-01-26 12:35:32.074294 (1.0, 500000.0, 8, 10.0, [[0.74, 0.03], [0.74, 0.03]], 0.99, 0.0, 3) [0.0542409468007585 9.564703349728374] 1
2022-01-26 12:35:56.344908 (1.0, 500000.0, 8, 10.0, [[0.71, 0.03], [0.71, 0.03]], 0.99, 0.0, 3) [0.06038722025440082 8.6570481835288629] 1
2022-01-26 12:36:00.485482 (1.0, 500000.0, 8, 10.0, [[0.55, 0.03], [0.55, 0.03]], 0.99, 0.0, 3) [0.12626560890081598 4.2375502482070715] 1
2022-01-26 12:59:56.775955 (1.0, 500000.0, 7, 10.0, [[0.55, 0.03], [0.55, 0.03]], 0.99, 0.0, 3) [0.1599755383460188 3.0649188609902245] 1
2022-01-26 13:05:43.196988 (1.0, 500000.0, 7, 10.0, [[0.59, 0.03], [0.59, 0.03]], 0.99, 0.0, 3) [0.13146746292884512 3.9110471475042501] 1
2022-01-26 13:05:45.081958 (1.0, 500000.0, 7, 10.0, [[0.73, 0.03], [0.73, 0.03]], 0.99, 0.0, 3) [0.07261726991659932 7.0767956340849025] 1
2022-01-26 13:08:52.712374 (1.0, 500000.0, 11, 10.0, [[0.64, 0.03], [0.64, 0.03]], 0.99, 0.0, 3) [0.043539103636781 12.6464890140269] 1
2022-01-26 13:09:26.801243 (1.0, 500000.0, 11, 10.0, [[0.59, 0.03], [0.59, 0.03]], 0.99, 0.0, 3) [0.055285529161695365 10.150753835396264] 1
2022-01-26 13:09:59.983217 (1.0, 500000.0, 11, 10.0, [[0.63, 0.03], [0.63, 0.03]], 0.99, 0.0, 3) [0.04468863735615465 12.092087753923355] 1
2022-01-26 13:10:35.629984 (1.0, 500000.0, 11, 10.0, [[0.73, 0.03], [0.73, 0.03]], 0.99, 0.0, 3) [0.02955718284183831 17.572112997494528] 1
2022-01-26 13:11:06.093865 (1.0, 500000.0, 11, 10.0, [[0.74, 0.03], [0.74, 0.03]], 0.99, 0.0, 3) [0.028682676631636733 18.163469346994134] 1
2022-01-26 13:29:10.745767 (1.0, 500000.0, 6, 10.0, [[0.6, 0.03], [0.6, 0.03]], 0.99, 0.0, 3) [0.16439888797775068 2.8439588383494927] 1
2022-01-26 13:29:15.606906 (1.0, 500000.0, 9, 10.0, [[0.64, 0.03], [0.64, 0.03]], 0.99, 0.0, 3) [0.06480642581094653 8.4108524425685811] 1
2022-01-26 13:29:40.622591 (1.0, 500000.0, 6, 10.0, [[0.59, 0.03], [0.59, 0.03]], 0.99, 0.0, 3) [0.17186727834712726 2.6809983589181412] 1
2022-01-26 13:29:41.598948 (1.0, 500000.0, 9, 10.0, [[0.62, 0.03], [0.62, 0.03]], 0.99, 0.0, 3) [0.07174696979881111 7.7360665531221144] 1
2022-01-26 13:30:04.968025 (1.0, 500000.0, 6, 10.0, [[0.65, 0.03], [0.65, 0.03]], 0.99, 0.0, 3) [0.13529207585911146 3.7019658901645491] 1
2022-01-26 13:30:14.766734 (1.0, 500000.0, 6, 10.0, [[0.61, 0.03], [0.61, 0.03]], 0.99, 0.0, 3) [0.16053713006770734 2.982979321500467] 1
2022-01-26 13:30:16.442337 (1.0, 500000.0, 6, 10.0, [[0.72, 0.03], [0.72, 0.03]], 0.99, 0.0, 3) [0.10202645031199156 4.9475985787322694] 1
2022-01-26 13:30:21.374276 (1.0, 500000.0, 6, 10.0, [[0.57, 0.03], [0.57, 0.03]], 0.99, 0.0, 3) [0.18769535606418467 2.3522712583777228] 1
2022-01-26 13:30:27.281419 (1.0, 500000.0, 6, 10.0, [[0.55, 0.03], [0.55, 0.03]], 0.99, 0.0, 3) [0.20121389269388193 2.0490301632584029] 1
2022-01-26 13:30:58.918269 (1.0, 500000.0, 9, 10.0, [[0.73, 0.03], [0.73, 0.03]], 0.99, 0.0, 3) [0.044298902136370236 11.752334295085005] 1
2022-01-26 13:31:52.274877 (1.0, 500000.0, 9, 10.0, [[0.67, 0.03], [0.67, 0.03]], 0.99, 0.0, 3) [0.05708631831182251 9.4913773642914361] 1
2022-01-26 13:32:09.092104 (1.0, 500000.0, 9, 10.0, [[0.69, 0.03], [0.69, 0.03]], 0.99, 0.0, 3) [0.05089416640594309 10.240507518303854] 1
2022-01-26 13:32:13.852996 (1.0, 500000.0, 9, 10.0, [[0.63, 0.03], [0.63, 0.03]], 0.99, 0.0, 3) [0.06832628388715399 8.1027387482904327] 1
2022-01-26 13:34:17.948979 (1.0, 500000.0, 9, 10.0, [[0.68, 0.03], [0.68, 0.03]], 0.99, 0.0, 3) [0.053668338095122343 9.8379721500190698] 1
2022-01-26 13:35:00.302872 (1.0, 500000.0, 9, 10.0, [[0.61, 0.03], [0.61, 0.03]], 0.99, 0.0, 3) [0.07565233604847942 7.4026149801002044] 1
2022-01-26 13:43:26.883869 (1.0, 500000.0, 8, 10.0, [[0.68, 0.03], [0.68, 0.03]], 0.99, 0.0, 3) [0.06838515243479422 7.756540160450033] 1
2022-01-26 13:43:34.707577 (1.0, 500000.0, 8, 10.0, [[0.65, 0.03], [0.65, 0.03]], 0.99, 0.0, 3) [0.07851259706949007 6.8878357248715849] 1
2022-01-26 13:43:45.199049 (1.0, 500000.0, 8, 10.0, [[0.59, 0.03], [0.59, 0.03]], 0.99, 0.0, 3) [0.10429554237382802 5.2664147264457055] 1
2022-01-26 13:44:08.046668 (1.0, 500000.0, 8, 10.0, [[0.73, 0.03], [0.73, 0.03]], 0.99, 0.0, 3) [0.05547883642080352 9.2652522602073066] 1
2022-01-26 13:44:12.563165 (1.0, 500000.0, 8, 10.0, [[0.58, 0.03], [0.58, 0.03]], 0.99, 0.0, 3) [0.10939044882941645 4.9945295085915058] 1
2022-01-26 13:44:21.079077 (1.0, 500000.0, 8, 10.0, [[0.7, 0.03], [0.7, 0.03]], 0.99, 0.0, 3) [0.06376621239859082 8.3548490221175111] 1
2022-01-26 14:05:09.539756 (1.0, 500000.0, 12, 10.0, [[0.68, 0.03], [0.68, 0.03]], 0.99, 0.0, 3) [0.029450187873981168 17.564698464715374] 1
2022-01-26 14:05:13.450149 (1.0, 500000.0, 12, 10.0, [[0.63, 0.03], [0.63, 0.03]], 0.99, 0.0, 3) [0.03837366092712239 14.407504293407037] 1
2022-01-26 14:15:06.989004 (1.0, 500000.0, 10, 10.0, [[0.68, 0.03], [0.68, 0.03]], 0.99, 0.0, 3) [0.04350401236098248 12.18498193484873] 1
2022-01-26 14:15:46.244351 (1.0, 500000.0, 10, 10.0, [[0.63, 0.03], [0.63, 0.03]], 0.99, 0.0, 3) [0.05581656473590451 10.022444297182611] 1
2022-01-26 14:19:19.098719 (1.0, 500000.0, 10, 10.0, [[0.58, 0.03], [0.58, 0.03]], 0.99, 0.0, 3) [0.07005163996757058 7.9787413252578343] 1
2022-01-26 14:19:36.215939 (1.0, 500000.0, 10, 10.0, [[0.57, 0.03], [0.57, 0.03]], 0.99, 0.0, 3) [0.07477782378265631 7.5902875529459415] 1
2022-01-26 14:19:37.109932 (1.0, 500000.0, 10, 10.0, [[0.64, 0.03], [0.64, 0.03]], 0.99, 0.0, 3) [0.05226094182016997 10.417106933435219] 1
2022-01-26 14:19:45.566176 (1.0, 500000.0, 10, 10.0, [[0.7, 0.03], [0.7, 0.03]], 0.99, 0.0, 3) [0.03955628389010854 13.132468243505249] 1
2022-01-26 14:20:32.783438 (1.0, 500000.0, 10, 10.0, [[0.56, 0.03], [0.56, 0.03]], 0.99, 0.0, 3) [0.07789042601106806 7.2530887826681489] 1
