2022-01-31 13:46:58.810941 (1.0, 500000.0, 6, 10.0, [[0.62, 0.03], [0.62, 0.03]], 0.99, 0.0, 3) [0.32665820353406655 0.084981284356588888] 1
2022-01-31 13:47:42.552753 (1.0, 500000.0, 6, 10.0, [[0.66, 0.03], [0.66, 0.03]], 0.99, 0.0, 3) [0.284898053359305 0.13938234149275069] 1
2022-01-31 13:58:53.617282 (1.0, 500000.0, 7, 10.0, [[0.64, 0.03], [0.64, 0.03]], 0.99, 0.0, 3) [0.2570094348388641 0.11639650322730748] 1
2022-01-31 13:58:54.437801 (1.0, 500000.0, 7, 10.0, [[0.61, 0.03], [0.61, 0.03]], 0.99, 0.0, 3) [0.2885999379442109 0.075017948843110915] 1
2022-01-31 13:59:17.509720 (1.0, 500000.0, 7, 10.0, [[0.66, 0.03], [0.66, 0.03]], 0.99, 0.0, 3) [0.23749231743819843 0.15186921260685013] 1
2022-01-31 14:00:02.709649 (1.0, 500000.0, 7, 10.0, [[0.67, 0.03], [0.67, 0.03]], 0.99, 0.0, 3) [0.2289984238516038 0.17128955977180793] 1
2022-01-31 14:16:48.062659 (1.0, 500000.0, 8, 10.0, [[0.7, 0.03], [0.7, 0.03]], 0.99, 0.0, 3) [0.17332530673451318 0.25978583131565147] 1
2022-01-31 14:16:52.192803 (1.0, 500000.0, 8, 10.0, [[0.67, 0.03], [0.67, 0.03]], 0.99, 0.0, 3) [0.19479323358334105 0.18555902576886432] 1
2022-01-31 14:32:45.262580 (1.0, 500000.0, 6, 10.0, [[0.65, 0.03], [0.65, 0.03]], 0.99, 0.0, 3) [0.2934168485552485 0.12604744102924484] 1
2022-01-31 14:32:55.698065 (1.0, 500000.0, 6, 10.0, [[0.67, 0.03], [0.67, 0.03]], 0.99, 0.0, 3) [0.2759098323116759 0.15538891235621566] 1
2022-01-31 14:33:43.272530 (1.0, 500000.0, 6, 10.0, [[0.7, 0.03], [0.7, 0.03]], 0.99, 0.0, 3) [0.24863935600340237 0.21411742055871669] 1
2022-01-31 14:33:46.786633 (1.0, 500000.0, 6, 10.0, [[0.69, 0.03], [0.69, 0.03]], 0.99, 0.0, 3) [0.2560261269189166 0.19568755925076745] 1
2022-01-31 14:33:50.096636 (1.0, 500000.0, 6, 10.0, [[0.6, 0.03], [0.6, 0.03]], 0.99, 0.0, 3) [0.34953878019018064 0.064452361391314536] 1
2022-01-31 14:34:02.771364 (1.0, 500000.0, 6, 10.0, [[0.64, 0.03], [0.64, 0.03]], 0.99, 0.0, 3) [0.30230713732014564 0.1130868198217603] 1
2022-01-31 14:39:28.956160 (1.0, 500000.0, 9, 10.0, [[0.66, 0.03], [0.66, 0.03]], 0.99, 0.0, 3) [0.17808991158206544 0.1707301721346631] 1
2022-01-31 14:41:26.265621 (1.0, 500000.0, 9, 10.0, [[0.7, 0.03], [0.7, 0.03]], 0.99, 0.0, 3) [0.14853730044275146 0.28520246438715763] 1
2022-01-31 14:41:53.890250 (1.0, 500000.0, 9, 10.0, [[0.65, 0.03], [0.65, 0.03]], 0.99, 0.0, 3) [0.18581666684809453 0.14846177493458404] 1
2022-01-31 14:50:44.520698 (1.0, 500000.0, 7, 10.0, [[0.62, 0.03], [0.62, 0.03]], 0.99, 0.0, 3) [0.2785864991955061 0.086394743792608336] 1
2022-01-31 14:51:33.216866 (1.0, 500000.0, 7, 10.0, [[0.63, 0.03], [0.63, 0.03]], 0.99, 0.0, 3) [0.26585342099561393 0.10272575579166497] 1
2022-01-31 15:11:55.813173 (1.0, 500000.0, 10, 10.0, [[0.61, 0.03], [0.61, 0.03]], 0.99, 0.0, 3) [0.20140163996713384 0.075797357614706143] 1
2022-01-31 15:12:17.770694 (1.0, 500000.0, 10, 10.0, [[0.63, 0.03], [0.63, 0.03]], 0.99, 0.0, 3) [0.18050664942659245 0.11400909277232789] 1
2022-01-31 15:13:27.914687 (1.0, 500000.0, 10, 10.0, [[0.69, 0.03], [0.69, 0.03]], 0.99, 0.0, 3) [0.1347926877735338 0.27811945589561859] 1
2022-01-31 15:16:45.653566 (1.0, 500000.0, 6, 10.0, [[0.63, 0.03], [0.63, 0.03]], 0.99, 0.0, 3) [0.31402887523370254 0.098617405623789678] 1
2022-01-31 15:16:48.446127 (1.0, 500000.0, 6, 10.0, [[0.61, 0.03], [0.61, 0.03]], 0.99, 0.0, 3) [0.33781923078534265 0.074126298506389743] 1
2022-01-31 15:17:02.562545 (1.0, 500000.0, 6, 10.0, [[0.68, 0.03], [0.68, 0.03]], 0.99, 0.0, 3) [0.26547278232951926 0.17544290437363663] 1
2022-01-31 15:24:28.332333 (1.0, 500000.0, 8, 10.0, [[0.63, 0.03], [0.63, 0.03]], 0.99, 0.0, 3) [0.23182367120054936 0.10414369864264578] 1
2022-01-31 15:25:05.155179 (1.0, 500000.0, 8, 10.0, [[0.62, 0.03], [0.62, 0.03]], 0.99, 0.0, 3) [0.2421648928417963 0.088363167079669749] 1
2022-01-31 15:30:24.820732 (1.0, 500000.0, 8, 10.0, [[0.65, 0.03], [0.65, 0.03]], 0.99, 0.0, 3) [0.2131531432772613 0.13982039898390819] 1
2022-01-31 15:31:01.009838 (1.0, 500000.0, 8, 10.0, [[0.61, 0.03], [0.61, 0.03]], 0.99, 0.0, 3) [0.24976776134708564 0.077793609498249025] 1
2022-01-31 15:32:00.443941 (1.0, 500000.0, 8, 10.0, [[0.69, 0.03], [0.69, 0.03]], 0.99, 0.0, 3) [0.18110066055174792 0.23104524739343069] 1
2022-01-31 15:32:07.427197 (1.0, 500000.0, 8, 10.0, [[0.6, 0.03], [0.6, 0.03]], 0.99, 0.0, 3) [0.26536319307062445 0.061165278783832884] 1
2022-01-31 15:58:05.992323 (1.0, 500000.0, 11, 10.0, [[0.69, 0.03], [0.69, 0.03]], 0.99, 0.0, 3) [0.12213064306175844 0.2830251925224736] 1
