2022-01-04 21:11:24.844327 (1.0, 500000.0, 13, 10.0, [[0.5, 1e-10], [0.5, 1e-10]], 0.99, 0.0, 3) [0.06793877524320291 8.7874759223512235] 1
2022-01-04 21:11:28.064376 (1.0, 500000.0, 13, 10.0, [[0.5, 0.001], [0.5, 0.001]], 0.99, 0.0, 3) [0.06777257138781836 8.7846355027758172] 1
2022-01-04 21:11:28.124246 (1.0, 500000.0, 13, 10.0, [[0.5, 1e-06], [0.5, 1e-06]], 0.99, 0.0, 3) [0.06741746516288344 8.8059437034069941] 1
2022-01-04 21:12:54.464349 (1.0, 500000.0, 13, 10.0, [[0.5, 0.0001], [0.5, 0.0001]], 0.99, 0.0, 3) [0.06805312700625582 8.787821597795773] 1
2022-01-04 21:16:01.980993 (1.0, 500000.0, 13, 10.0, [[0.5, 1e-07], [0.5, 1e-07]], 0.99, 0.0, 3) [0.06818593155116263 8.8099848378150014] 1
2022-01-04 21:39:02.918765 (1.0, 500000.0, 6, 10.0, [[0.5, 0.0001], [0.5, 0.0001]], 0.99, 0.0, 3) [0.25127167729633054 1.3088626074085583] 1
2022-01-04 21:40:24.980916 (1.0, 500000.0, 6, 10.0, [[0.5, 1e-10], [0.5, 1e-10]], 0.99, 0.0, 3) [0.2511436690739653 1.3157365512370476] 1
2022-01-04 21:40:43.318423 (1.0, 500000.0, 6, 10.0, [[0.5, 1e-07], [0.5, 1e-07]], 0.99, 0.0, 3) [0.2490200349491545 1.3245588141368314] 1
2022-01-04 21:40:45.473310 (1.0, 500000.0, 6, 10.0, [[0.5, 0.001], [0.5, 0.001]], 0.99, 0.0, 3) [0.25094769986409543 1.3130362182205315] 1
2022-01-04 21:40:55.339962 (1.0, 500000.0, 6, 10.0, [[0.5, 1e-09], [0.5, 1e-09]], 0.99, 0.0, 3) [0.2506068040416268 1.316215662659201] 1
2022-01-04 21:55:19.458891 (1.0, 500000.0, 14, 10.0, [[0.5, 1e-09], [0.5, 1e-09]], 0.99, 0.0, 3) [0.05761181937099091 10.234737445395538] 1
2022-01-04 21:56:05.073045 (1.0, 500000.0, 14, 10.0, [[0.5, 1e-06], [0.5, 1e-06]], 0.99, 0.0, 3) [0.058440108434320355 10.219559659068583] 1
2022-01-04 21:57:18.031472 (1.0, 500000.0, 14, 10.0, [[0.5, 1e-05], [0.5, 1e-05]], 0.99, 0.0, 3) [0.05853890818914937 10.214344624154302] 1
2022-01-04 21:57:40.312449 (1.0, 500000.0, 14, 10.0, [[0.5, 1e-08], [0.5, 1e-08]], 0.99, 0.0, 3) [0.05904927051577176 10.227379678745299] 1
2022-01-04 21:57:54.619083 (1.0, 500000.0, 14, 10.0, [[0.5, 0.0001], [0.5, 0.0001]], 0.99, 0.0, 3) [0.05922482056092791 10.21044464224452] 1
2022-01-04 21:57:56.552207 (1.0, 500000.0, 14, 10.0, [[0.5, 1e-07], [0.5, 1e-07]], 0.99, 0.0, 3) [0.05802563234080646 10.239544185043984] 1
2022-01-04 21:58:11.699129 (1.0, 500000.0, 14, 10.0, [[0.5, 1e-10], [0.5, 1e-10]], 0.99, 0.0, 3) [0.05731091327031099 10.229497062085422] 1
2022-01-04 21:58:18.294912 (1.0, 500000.0, 9, 10.0, [[0.5, 1e-07], [0.5, 1e-07]], 0.99, 0.0, 3) [0.13405144366601016 4.0101107029036323] 1
2022-01-04 21:58:30.115503 (1.0, 500000.0, 9, 10.0, [[0.5, 0.001], [0.5, 0.001]], 0.99, 0.0, 3) [0.13676160473213633 3.9681080334604397] 1
2022-01-04 21:59:51.321351 (1.0, 500000.0, 14, 10.0, [[0.5, 0.001], [0.5, 0.001]], 0.99, 0.0, 3) [0.057806173089784335 10.256094208961182] 1
2022-01-04 23:02:40.927028 (1.0, 500000.0, 8, 10.0, [[0.5, 0.001], [0.5, 0.001]], 0.99, 0.0, 3) [0.16352535420362208 3.0245219539602126] 1
2022-01-04 23:03:08.236026 (1.0, 500000.0, 8, 10.0, [[0.5, 0.0001], [0.5, 0.0001]], 0.99, 0.0, 3) [0.1630414701012123 3.0256616672384671] 1
2022-01-04 23:03:10.546628 (1.0, 500000.0, 8, 10.0, [[0.5, 1e-09], [0.5, 1e-09]], 0.99, 0.0, 3) [0.16400572825005263 3.0144374567180052] 1
2022-01-04 23:03:36.104128 (1.0, 500000.0, 8, 10.0, [[0.5, 1e-05], [0.5, 1e-05]], 0.99, 0.0, 3) [0.16380763393841172 3.0383213546854866] 1
2022-01-04 23:11:03.039333 (1.0, 500000.0, 7, 10.0, [[0.5, 1e-05], [0.5, 1e-05]], 0.99, 0.0, 3) [0.19878125293133608 2.1347332672876997] 1
2022-01-04 23:11:29.747121 (1.0, 500000.0, 7, 10.0, [[0.5, 1e-09], [0.5, 1e-09]], 0.99, 0.0, 3) [0.19990317320787618 2.112683075195624] 1
2022-01-04 23:11:58.819139 (1.0, 500000.0, 7, 10.0, [[0.5, 1e-06], [0.5, 1e-06]], 0.99, 0.0, 3) [0.20113869559265649 2.1106420349488446] 1
2022-01-04 23:12:17.053099 (1.0, 500000.0, 7, 10.0, [[0.5, 0.0001], [0.5, 0.0001]], 0.99, 0.0, 3) [0.20143913472732097 2.1021055158415125] 1
2022-01-04 23:13:15.266802 (1.0, 500000.0, 7, 10.0, [[0.5, 1e-10], [0.5, 1e-10]], 0.99, 0.0, 3) [0.2012606144010842 2.116074390387813] 1
2022-01-05 00:52:04.383781 (1.0, 500000.0, 9, 10.0, [[0.5, 1e-09], [0.5, 1e-09]], 0.99, 0.0, 3) [0.13329312553523792 4.0268855848677489] 1
2022-01-05 01:00:34.048670 (1.0, 500000.0, 9, 10.0, [[0.5, 0.0001], [0.5, 0.0001]], 0.99, 0.0, 3) [0.13412263128442736 4.0199342641825657] 1
2022-01-05 01:11:42.574062 (1.0, 500000.0, 9, 10.0, [[0.5, 1e-06], [0.5, 1e-06]], 0.99, 0.0, 3) [0.13482044097267945 4.0320959008495478] 1
2022-01-05 01:12:40.614059 (1.0, 500000.0, 9, 10.0, [[0.5, 1e-10], [0.5, 1e-10]], 0.99, 0.0, 3) [0.13585942115205485 4.0005704915943241] 1
2022-01-05 04:35:55.798871 (1.0, 500000.0, 10, 10.0, [[0.5, 1e-07], [0.5, 1e-07]], 0.99, 0.0, 3) [0.11305625169368341 5.0831996671149691] 1
2022-01-05 04:36:05.850693 (1.0, 500000.0, 10, 10.0, [[0.5, 1e-05], [0.5, 1e-05]], 0.99, 0.0, 3) [0.11114822122808857 5.0938607437211845] 1
2022-01-05 04:36:39.292211 (1.0, 500000.0, 10, 10.0, [[0.5, 1e-09], [0.5, 1e-09]], 0.99, 0.0, 3) [0.11143114073013746 5.0843093244675455] 1
2022-01-05 04:40:03.462172 (1.0, 500000.0, 10, 10.0, [[0.5, 1e-10], [0.5, 1e-10]], 0.99, 0.0, 3) [0.1111002293735005 5.0862738069344324] 1
2022-01-05 04:40:32.436348 (1.0, 500000.0, 10, 10.0, [[0.5, 1e-06], [0.5, 1e-06]], 0.99, 0.0, 3) [0.11205912003672341 5.0856849201346055] 1
