2021-12-05 19:54:40.182759 (1.0, 500000.0, 12, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.15, 0.0, 3) [0.3773226641576645 0.39923357822912464] 1
2021-12-05 21:11:01.987623 (1.0, 500000.0, 13, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.1, 0.0, 3) [0.48296604884226496 0.1420296282071995] 1
2021-12-05 21:12:22.930491 (1.0, 500000.0, 13, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.05, 0.0, 3) [0.6500818625798399 0.026552423360846424] 1
2021-12-05 21:12:53.931451 (1.0, 500000.0, 13, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.0, 0.0, 3) [0.8468037532158309 0.0037667207684161257] 1
2021-12-05 21:13:40.312903 (1.0, 500000.0, 13, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.15, 0.0, 3) [0.3471167308227757 0.5405926057623851] 1
2021-12-05 21:14:36.730816 (1.0, 500000.0, 13, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.2, 0.0, 3) [0.23967286101794533 1.4890081167434521] 1
2021-12-05 22:35:04.803210 (1.0, 500000.0, 14, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.2, 0.0, 3) [0.2145995530576467 1.8858817142002546] 1
2021-12-05 22:37:33.882887 (1.0, 500000.0, 14, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.05, 0.0, 3) [0.6160046298074082 0.038006570477685908] 1
2021-12-05 22:37:54.233895 (1.0, 500000.0, 14, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.0, 0.0, 3) [0.8127546853404305 0.0052892669075918037] 1
2021-12-05 22:38:03.748028 (1.0, 500000.0, 14, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.15, 0.0, 3) [0.3151504353860387 0.72679039556396341] 1
2021-12-05 22:41:03.369868 (1.0, 500000.0, 14, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.1, 0.0, 3) [0.4496864045475622 0.19819951289363449] 1
