,date,time,eps,Lz,L,W,tLow,c,E,dim,lyap,std,g,reals,runtime
30,2022-03-10,03:32:45.340039,1.0,100000.0,14.0,10.0,0.3,0.271,2.0,3.0,0.2652591298101909,0.007897265284155297,0.0024301804166545742,10.0,3007.1167600154877
31,2022-03-10,03:33:48.031652,1.0,100000.0,14.0,10.0,0.3,0.271,2.0,3.0,0.2658715658353891,0.004211988669838114,0.002388155443834039,10.0,3008.00683093071
32,2022-03-10,04:12:50.166652,1.0,100000.0,12.0,10.0,0.3,0.271,2.0,3.0,0.2935108901010183,0.003819480639133842,0.0035630884260907936,10.0,4188.04176235199
33,2022-03-10,04:20:45.087150,1.0,100000.0,12.0,10.0,0.3,0.271,2.0,3.0,0.29699129280257985,0.004879706702339772,0.0032805952329266795,10.0,6100.857505321503
34,2022-03-10,04:22:49.827747,1.0,100000.0,14.0,10.0,0.3,0.271,2.0,3.0,0.2613344283121582,0.0028450708229786795,0.0027033492173722706,10.0,3004.4796295166016
35,2022-03-10,04:23:53.455985,1.0,100000.0,14.0,10.0,0.3,0.271,2.0,3.0,0.2642611873254598,0.00352939654525143,0.002498962427790082,10.0,3005.418928384781
36,2022-03-10,05:12:59.068421,1.0,100000.0,14.0,10.0,0.3,0.271,2.0,3.0,0.2631932322996157,0.0036540856317441015,0.0025740560845098465,10.0,3009.2359862327576
37,2022-03-10,05:14:03.509892,1.0,100000.0,14.0,10.0,0.3,0.271,2.0,3.0,0.2645289329688176,0.006573420662038274,0.0024785561522628063,10.0,3010.050459384918
38,2022-03-10,05:34:46.131213,1.0,100000.0,12.0,10.0,0.3,0.271,2.0,3.0,0.3006340177743644,0.0034994300164720555,0.0030112808627618367,10.0,4915.931250095367
39,2022-03-10,05:38:20.524562,1.0,100000.0,12.0,10.0,0.3,0.271,2.0,3.0,0.29853774042644093,0.0036116709849671365,0.0031594403287753853,10.0,11454.423978567123
40,2022-03-10,06:03:09.179060,1.0,100000.0,14.0,10.0,0.3,0.271,2.0,3.0,0.2618184296521595,0.004420994194202022,0.0026703225390908715,10.0,3010.1017458438873
41,2022-03-10,06:04:14.529473,1.0,100000.0,14.0,10.0,0.3,0.271,2.0,3.0,0.2659718313179696,0.006273356479720403,0.002380315197266244,10.0,3011.0151965618134
42,2022-03-10,06:08:59.906699,1.0,100000.0,12.0,10.0,0.3,0.271,2.0,3.0,0.30232840934994437,0.005569983607039903,0.0028954000892305394,10.0,6494.796272277832
43,2022-03-10,06:27:27.213551,1.0,100000.0,12.0,10.0,0.3,0.271,2.0,3.0,0.2991805839103472,0.00605918648809029,0.003118014069048627,10.0,11667.371386289597
44,2022-03-10,06:40:06.887200,1.0,100000.0,12.0,10.0,0.3,0.271,2.0,3.0,0.30099865993899544,0.004345816832060128,0.002978249974269059,10.0,3706.3347973823547
45,2022-03-10,06:40:08.425174,1.0,100000.0,12.0,10.0,0.3,0.271,2.0,3.0,0.2979683368273353,0.003502531605562288,0.003207243038932234,10.0,3922.2704310417175
46,2022-03-10,06:50:09.438804,1.0,100000.0,12.0,10.0,0.3,0.271,2.0,3.0,0.2997689579294846,0.0054507114590403045,0.0030691705297714264,10.0,2469.5008516311646
47,2022-03-10,06:53:17.098623,1.0,100000.0,14.0,10.0,0.3,0.271,2.0,3.0,0.2637444492349935,0.004795076273664943,0.0025386175868439003,10.0,3007.9061908721924
48,2022-03-10,06:54:23.398962,1.0,100000.0,14.0,10.0,0.3,0.271,2.0,3.0,0.26170776792923417,0.002795286297869849,0.0026791763286597614,10.0,3008.864334344864
49,2022-03-10,07:17:58.266545,1.0,100000.0,12.0,10.0,0.3,0.271,2.0,3.0,0.2981985487734223,0.004027097523167176,0.0031873561077374727,10.0,3031.0475091934204
50,2022-03-10,07:22:39.111466,1.0,100000.0,12.0,10.0,0.3,0.271,2.0,3.0,0.3021068448052483,0.0043062124606591794,0.002908837465839076,10.0,2552.2122218608856
51,2022-03-10,07:30:42.637616,1.0,100000.0,12.0,10.0,0.3,0.271,2.0,3.0,0.3009770275034229,0.005009601812874489,0.0029818706674924903,10.0,3034.195329427719
52,2022-03-10,07:43:25.199938,1.0,100000.0,14.0,10.0,0.3,0.271,2.0,3.0,0.2623233305672159,0.005822133534146862,0.002637708366046838,10.0,3008.0983452796936
53,2022-03-10,07:44:32.582460,1.0,100000.0,14.0,10.0,0.3,0.271,2.0,3.0,0.2564554675308259,0.008365337475482085,0.003099097826547869,10.0,3009.1787152290344
54,2022-03-10,08:11:58.205593,1.0,100000.0,12.0,10.0,0.3,0.271,2.0,3.0,0.30082336156969575,0.004638811426845301,0.0029990757659767026,10.0,4908.756222724915
55,2022-03-10,08:33:35.877908,1.0,100000.0,14.0,10.0,0.3,0.271,2.0,3.0,0.2648892825777931,0.003383676984602253,0.0024561780544354226,10.0,3010.670408010483
56,2022-03-10,08:34:08.933528,1.0,100000.0,14.0,10.0,0.3,0.271,2.0,3.0,0.2639294939106327,0.0035125095487733775,0.0025177898062145256,10.0,2976.347303390503
