,date,time,eps,Lz,L,W,tLow,c,E,dim,lyap,std,g,reals,runtime,fname
464,2022-06-18,20:22:49.613747,1.0,100000.0,10.0,10.0,0.3,0.2605,0.0,3.0,0.3471724702225828,0.007638771975423163,0.003971837845485968,10.0,386.06777596473694,E0W10-L16-30-10x.txt
469,2022-06-18,20:27:56.165836,1.0,100000.0,10.0,10.0,0.3,0.2605,0.0,3.0,0.34152292804330076,0.005650339404653241,0.004434023277648151,10.0,306.54982900619507,E0W10-L16-30-10x.txt
473,2022-06-18,20:33:02.772805,1.0,100000.0,10.0,10.0,0.3,0.2605,0.0,3.0,0.34488606034510383,0.00513598970371645,0.004154073873689868,10.0,306.60477662086487,E0W10-L16-30-10x.txt
477,2022-06-18,20:38:09.429451,1.0,100000.0,10.0,10.0,0.3,0.2605,0.0,3.0,0.3458467209656676,0.004984043149261305,0.004065640572371895,10.0,306.6543242931366,E0W10-L16-30-10x.txt
483,2022-06-18,20:43:16.590615,1.0,100000.0,10.0,10.0,0.3,0.2605,0.0,3.0,0.34308980728217014,0.00399744811178526,0.0042908025506132605,10.0,307.15845489501953,E0W10-L16-30-10x.txt
487,2022-06-18,20:48:23.810237,1.0,100000.0,10.0,10.0,0.3,0.2605,0.0,3.0,0.34704694955773796,0.0032769728707346705,0.0039652621005008565,10.0,307.2171936035156,E0W10-L16-30-10x.txt
491,2022-06-18,20:53:28.600314,1.0,100000.0,10.0,10.0,0.3,0.2605,0.0,3.0,0.34469877733072724,0.006429337708729976,0.004164943250834489,10.0,304.78795170783997,E0W10-L16-30-10x.txt
493,2022-06-18,20:58:37.802649,1.0,100000.0,10.0,10.0,0.3,0.2605,0.0,3.0,0.34291407537467905,0.0056488257067990886,0.0043022368837847685,10.0,309.20010590553284,E0W10-L16-30-10x.txt
501,2022-06-18,21:03:47.551597,1.0,100000.0,10.0,10.0,0.3,0.2605,0.0,3.0,0.3453968463703062,0.004873701048869743,0.004098193752678062,10.0,309.7469742298126,E0W10-L16-30-10x.txt
504,2022-06-18,21:08:57.042135,1.0,100000.0,10.0,10.0,0.3,0.2605,0.0,3.0,0.34914297353122037,0.004366672406969814,0.0038095642626135057,10.0,309.4880340099335,E0W10-L16-30-10x.txt
369,2022-06-18,17:46:26.780771,1.0,100000.0,10.0,10.0,0.3,0.2615,0.0,3.0,0.34076316844057564,0.006399028271761283,0.00449443411966087,10.0,317.70382809638977,E0W10-L16-30-10x.txt
371,2022-06-18,17:51:39.875612,1.0,100000.0,10.0,10.0,0.3,0.2615,0.0,3.0,0.34434150065869484,0.006494797398951669,0.0041857374271497185,10.0,313.0925838947296,E0W10-L16-30-10x.txt
374,2022-06-18,17:56:52.032915,1.0,100000.0,10.0,10.0,0.3,0.2615,0.0,3.0,0.34222435709252624,0.006209052865904354,0.004375103840432872,10.0,312.15467286109924,E0W10-L16-30-10x.txt
376,2022-06-18,18:02:03.390318,1.0,100000.0,10.0,10.0,0.3,0.2615,0.0,3.0,0.34605072439995865,0.0054336526227054815,0.0040584855404840695,10.0,311.3552350997925,E0W10-L16-30-10x.txt
379,2022-06-18,18:07:16.275439,1.0,100000.0,10.0,10.0,0.3,0.2615,0.0,3.0,0.34063330293438693,0.006730352548044542,0.004504667896876341,10.0,312.88262391090393,E0W10-L16-30-10x.txt
383,2022-06-18,18:12:30.285208,1.0,100000.0,10.0,10.0,0.3,0.2615,0.0,3.0,0.34220587548087744,0.004368388382451723,0.004374045067467845,10.0,314.00760984420776,E0W10-L16-30-10x.txt
386,2022-06-18,18:17:44.188484,1.0,100000.0,10.0,10.0,0.3,0.2615,0.0,3.0,0.3405369062537611,0.003912166277205935,0.004510319309123185,10.0,313.9011299610138,E0W10-L16-30-10x.txt
389,2022-06-18,18:23:06.218025,1.0,100000.0,10.0,10.0,0.3,0.2615,0.0,3.0,0.3441467783240167,0.00588205541812364,0.004208108456346412,10.0,322.0275545120239,E0W10-L16-30-10x.txt
392,2022-06-18,18:28:25.681557,1.0,100000.0,10.0,10.0,0.3,0.2615,0.0,3.0,0.3429389603113569,0.005799974423744999,0.0043098896491693605,10.0,319.46124935150146,E0W10-L16-30-10x.txt
397,2022-06-18,18:33:32.583294,1.0,100000.0,10.0,10.0,0.3,0.2615,0.0,3.0,0.3404634971461242,0.006414300612203403,0.004520741800700237,10.0,306.8994188308716,E0W10-L16-30-10x.txt
310,2022-06-18,15:45:52.450542,1.0,100000.0,10.0,10.0,0.3,0.2621,0.0,3.0,0.3455550525543573,0.004852906180819714,0.004095878406033356,10.0,407.4394750595093,E0W10-L16-30-10x.txt
313,2022-06-18,15:54:13.711950,1.0,100000.0,10.0,10.0,0.3,0.2621,0.0,3.0,0.34050487707640975,0.004281055382026262,0.0045227936367101445,10.0,501.2589657306671,E0W10-L16-30-10x.txt
315,2022-06-18,16:02:35.605290,1.0,100000.0,10.0,10.0,0.3,0.2621,0.0,3.0,0.3475857075613515,0.004757705816465803,0.003939273980053087,10.0,501.89098381996155,E0W10-L16-30-10x.txt
318,2022-06-18,16:07:39.843722,1.0,100000.0,10.0,10.0,0.3,0.2621,0.0,3.0,0.3455516406469302,0.006970845185102046,0.00409827625439198,10.0,304.236031293869,E0W10-L16-30-10x.txt
321,2022-06-18,16:12:46.789124,1.0,100000.0,10.0,10.0,0.3,0.2621,0.0,3.0,0.3457808472744358,0.0056456621840747885,0.004074332406436036,10.0,306.9429244995117,E0W10-L16-30-10x.txt
323,2022-06-18,16:17:55.186981,1.0,100000.0,10.0,10.0,0.3,0.2621,0.0,3.0,0.34328503851724074,0.004041344796176283,0.004277539260322285,10.0,308.3955297470093,E0W10-L16-30-10x.txt
325,2022-06-18,16:23:06.948215,1.0,100000.0,10.0,10.0,0.3,0.2621,0.0,3.0,0.34482331986865983,0.006975894621354829,0.004155222027067859,10.0,311.7589862346649,E0W10-L16-30-10x.txt
328,2022-06-18,16:28:17.529013,1.0,100000.0,10.0,10.0,0.3,0.2621,0.0,3.0,0.3395169441422118,0.004340989033297585,0.004605235960714633,10.0,310.57794523239136,E0W10-L16-30-10x.txt
331,2022-06-18,16:33:27.936209,1.0,100000.0,10.0,10.0,0.3,0.2621,0.0,3.0,0.3403654160648074,0.005020136489282789,0.004539089998836436,10.0,310.40477681159973,E0W10-L16-30-10x.txt
335,2022-06-18,16:38:38.976607,1.0,100000.0,10.0,10.0,0.3,0.2621,0.0,3.0,0.33903621159698166,0.006314490930695088,0.0046380512602486965,10.0,311.0380027294159,E0W10-L16-30-10x.txt
399,2022-06-18,18:38:52.813575,1.0,100000.0,10.0,10.0,0.3,0.2641,0.0,3.0,0.3393671468143427,0.00504900536020965,0.004631432882736599,10.0,316.33061265945435,E0W10-L16-30-10x.txt
402,2022-06-18,18:43:57.418448,1.0,100000.0,10.0,10.0,0.3,0.2641,0.0,3.0,0.3362379296853389,0.005419628099645423,0.004929488550395516,10.0,304.60235571861267,E0W10-L16-30-10x.txt
404,2022-06-18,18:49:02.368853,1.0,100000.0,10.0,10.0,0.3,0.2641,0.0,3.0,0.34150377347782496,0.005406361508729002,0.004437804972780513,10.0,304.9479932785034,E0W10-L16-30-10x.txt
408,2022-06-18,18:54:13.876829,1.0,100000.0,10.0,10.0,0.3,0.2641,0.0,3.0,0.3470870866972019,0.003992345869714103,0.003980476795480188,10.0,311.505740404129,E0W10-L16-30-10x.txt
409,2022-06-18,18:59:23.696465,1.0,100000.0,10.0,10.0,0.3,0.2641,0.0,3.0,0.3376443262613221,0.005249595406746939,0.0047836445233578806,10.0,309.81662368774414,E0W10-L16-30-10x.txt
414,2022-06-18,19:04:32.752581,1.0,100000.0,10.0,10.0,0.3,0.2641,0.0,3.0,0.33464849056147206,0.004498341500200417,0.0050702305447788976,10.0,309.0536880493164,E0W10-L16-30-10x.txt
416,2022-06-18,19:09:39.712949,1.0,100000.0,10.0,10.0,0.3,0.2641,0.0,3.0,0.3420821140222473,0.005229251311304907,0.004399773788398868,10.0,306.9583270549774,E0W10-L16-30-10x.txt
419,2022-06-18,19:14:47.445983,1.0,100000.0,10.0,10.0,0.3,0.2641,0.0,3.0,0.3423693060566098,0.004704840708952076,0.00436179612574026,10.0,307.7303385734558,E0W10-L16-30-10x.txt
421,2022-06-18,19:19:53.658684,1.0,100000.0,10.0,10.0,0.3,0.2641,0.0,3.0,0.34106114614118216,0.003924374302807989,0.004480221038332966,10.0,306.2104787826538,E0W10-L16-30-10x.txt
423,2022-06-18,19:25:00.563308,1.0,100000.0,10.0,10.0,0.3,0.2641,0.0,3.0,0.3393766410924143,0.005906161251295091,0.004630917029256824,10.0,306.9023468494415,E0W10-L16-30-10x.txt
512,2022-06-18,21:14:13.610411,1.0,100000.0,10.0,10.0,0.3,0.2669,0.0,3.0,0.3359181729943376,0.004748815028778891,0.004958152677218976,10.0,312.8962905406952,E0W10-L16-30-10x.txt
515,2022-06-18,21:19:11.839183,1.0,100000.0,10.0,10.0,0.3,0.2669,0.0,3.0,0.3403315721923828,0.005330312306818186,0.0045546451950393835,10.0,298.2265315055847,E0W10-L16-30-10x.txt
518,2022-06-18,21:24:13.666203,1.0,100000.0,10.0,10.0,0.3,0.2669,0.0,3.0,0.3382384411842141,0.005036715882512512,0.004736911108453841,10.0,301.82449984550476,E0W10-L16-30-10x.txt
523,2022-06-18,21:29:09.967231,1.0,100000.0,10.0,10.0,0.3,0.2669,0.0,3.0,0.3366687431696105,0.0032757506872378474,0.004887004431699063,10.0,296.2987904548645,E0W10-L16-30-10x.txt
527,2022-06-18,21:34:14.425953,1.0,100000.0,10.0,10.0,0.3,0.2669,0.0,3.0,0.331007786119405,0.007018780234226664,0.00545881779507418,10.0,304.45658564567566,E0W10-L16-30-10x.txt
534,2022-06-18,21:39:20.243374,1.0,100000.0,10.0,10.0,0.3,0.2669,0.0,3.0,0.3353347133029415,0.004620918065272709,0.005020974445874068,10.0,305.81492352485657,E0W10-L16-30-10x.txt
537,2022-06-18,21:44:26.111407,1.0,100000.0,10.0,10.0,0.3,0.2669,0.0,3.0,0.3383318353668053,0.006728240093027402,0.004731510078581281,10.0,305.86579608917236,E0W10-L16-30-10x.txt
541,2022-06-18,21:49:32.073585,1.0,100000.0,10.0,10.0,0.3,0.2669,0.0,3.0,0.3291944343621383,0.005558367671681124,0.0056597558588832,10.0,305.9600479602814,E0W10-L16-30-10x.txt
544,2022-06-18,21:54:37.866428,1.0,100000.0,10.0,10.0,0.3,0.2669,0.0,3.0,0.33676060550128856,0.0038309181647977956,0.004875305399565917,10.0,305.7903492450714,E0W10-L16-30-10x.txt
547,2022-06-18,21:59:47.296296,1.0,100000.0,10.0,10.0,0.3,0.2669,0.0,3.0,0.3304878650244319,0.004949668617689995,0.005517881003926148,10.0,309.4274318218231,E0W10-L16-30-10x.txt
338,2022-06-18,16:49:25.987125,1.0,100000.0,10.0,10.0,0.3,0.2685,0.0,3.0,0.33076042865225036,0.005512222602698681,0.0054915758932835785,10.0,642.8336715698242,E0W10-L16-30-10x.txt
341,2022-06-18,16:54:46.914731,1.0,100000.0,10.0,10.0,0.3,0.2685,0.0,3.0,0.33186412670520565,0.006793050363431716,0.005371590927061409,10.0,320.92579531669617,E0W10-L16-30-10x.txt
345,2022-06-18,17:00:04.567045,1.0,100000.0,10.0,10.0,0.3,0.2685,0.0,3.0,0.3295876545426458,0.0038204848754832474,0.0056121818836213045,10.0,317.65003871917725,E0W10-L16-30-10x.txt
348,2022-06-18,17:05:23.805095,1.0,100000.0,10.0,10.0,0.3,0.2685,0.0,3.0,0.3330333944996424,0.003810692408532374,0.005256302730335461,10.0,319.2359354496002,E0W10-L16-30-10x.txt
352,2022-06-18,17:10:43.046712,1.0,100000.0,10.0,10.0,0.3,0.2685,0.0,3.0,0.33167242737398334,0.0036137884221232037,0.005405130775765169,10.0,319.2390239238739,E0W10-L16-30-10x.txt
354,2022-06-18,17:16:04.819903,1.0,100000.0,10.0,10.0,0.3,0.2685,0.0,3.0,0.33328134445842605,0.0040392333218402954,0.005228472503601401,10.0,321.7707917690277,E0W10-L16-30-10x.txt
356,2022-06-18,17:21:27.115499,1.0,100000.0,10.0,10.0,0.3,0.2685,0.0,3.0,0.3291497601006916,0.005440759558250152,0.005680852074927448,10.0,322.29348969459534,E0W10-L16-30-10x.txt
359,2022-06-18,17:30:14.610802,1.0,100000.0,10.0,10.0,0.3,0.2685,0.0,3.0,0.33750491739571215,0.0037600794902658287,0.004813101446437522,10.0,527.4934520721436,E0W10-L16-30-10x.txt
362,2022-06-18,17:35:39.851333,1.0,100000.0,10.0,10.0,0.3,0.2685,0.0,3.0,0.3341229111681989,0.0035598200406443386,0.005150436934283055,10.0,325.23806715011597,E0W10-L16-30-10x.txt
366,2022-06-18,17:41:04.896069,1.0,100000.0,10.0,10.0,0.3,0.2685,0.0,3.0,0.33540085836642314,0.004897592688285385,0.005025418215051212,10.0,325.04256653785706,E0W10-L16-30-10x.txt
690,2022-06-19,00:45:35.343264,1.0,100000.0,10.0,10.0,0.3,0.2699,0.0,3.0,0.32776240852099464,0.007710330424353273,0.005831908321884358,10.0,328.00064754486084,E0W10-L16-30-10x.txt
694,2022-06-19,00:50:41.185426,1.0,100000.0,10.0,10.0,0.3,0.2699,0.0,3.0,0.3312783250164936,0.0078056628717889315,0.005443851401416562,10.0,305.84029722213745,E0W10-L16-30-10x.txt
699,2022-06-19,00:55:45.502334,1.0,100000.0,10.0,10.0,0.3,0.2699,0.0,3.0,0.32678671791509845,0.0059358631041964306,0.005946086090338078,10.0,304.3148000240326,E0W10-L16-30-10x.txt
704,2022-06-19,01:00:50.728021,1.0,100000.0,10.0,10.0,0.3,0.2699,0.0,3.0,0.33208575342952434,0.005627979765581052,0.005352632841990721,10.0,305.2233922481537,E0W10-L16-30-10x.txt
707,2022-06-19,01:05:55.442118,1.0,100000.0,10.0,10.0,0.3,0.2699,0.0,3.0,0.32802203298439936,0.005459025127331259,0.005796635852569656,10.0,304.71197986602783,E0W10-L16-30-10x.txt
711,2022-06-19,01:10:59.368035,1.0,100000.0,10.0,10.0,0.3,0.2699,0.0,3.0,0.32607765202925826,0.004383584838266431,0.006018727562953059,10.0,303.9236636161804,E0W10-L16-30-10x.txt
714,2022-06-19,01:16:04.259273,1.0,100000.0,10.0,10.0,0.3,0.2699,0.0,3.0,0.3285332445959123,0.003593940518996035,0.005743730678554325,10.0,304.8890697956085,E0W10-L16-30-10x.txt
717,2022-06-19,01:21:12.778239,1.0,100000.0,10.0,10.0,0.3,0.2699,0.0,3.0,0.3343021489980613,0.008304076986055203,0.005129377860010667,10.0,308.5168478488922,E0W10-L16-30-10x.txt
724,2022-06-19,01:26:20.982029,1.0,100000.0,10.0,10.0,0.3,0.2699,0.0,3.0,0.3335239380446768,0.005201059390816151,0.005198390254026544,10.0,308.20144867897034,E0W10-L16-30-10x.txt
728,2022-06-19,01:31:29.073725,1.0,100000.0,10.0,10.0,0.3,0.2699,0.0,3.0,0.3275998965184015,0.004611255006618779,0.005844639706465205,10.0,308.08967542648315,E0W10-L16-30-10x.txt
644,2022-06-18,23:54:48.494228,1.0,100000.0,10.0,10.0,0.3,0.2715,0.0,3.0,0.32934131408540107,0.0032316262536327732,0.005659948756462946,10.0,313.2417936325073,E0W10-L16-30-10x.txt
651,2022-06-18,23:59:48.734049,1.0,100000.0,10.0,10.0,0.3,0.2715,0.0,3.0,0.33007069111382603,0.00464033930548059,0.005570843462703243,10.0,300.23770356178284,E0W10-L16-30-10x.txt
653,2022-06-19,00:04:49.588655,1.0,100000.0,10.0,10.0,0.3,0.2715,0.0,3.0,0.3261422411335717,0.006065912477493855,0.006024203821510023,10.0,300.8522322177887,E0W10-L16-30-10x.txt
659,2022-06-19,00:09:48.687289,1.0,100000.0,10.0,10.0,0.3,0.2715,0.0,3.0,0.3282026120697655,0.004922752918411693,0.005793486627074262,10.0,299.09622502326965,E0W10-L16-30-10x.txt
663,2022-06-19,00:14:55.702492,1.0,100000.0,10.0,10.0,0.3,0.2715,0.0,3.0,0.3266245032754955,0.004466379851062,0.00596333123885811,10.0,307.01298451423645,E0W10-L16-30-10x.txt
667,2022-06-19,00:19:55.635162,1.0,100000.0,10.0,10.0,0.3,0.2715,0.0,3.0,0.32567536488280013,0.004970550197564885,0.00608515887156359,10.0,299.93051314353943,E0W10-L16-30-10x.txt
