,date,time,eps,Lz,L,W,tLow,c,E,dim,lyap,std,g,reals,runtime,fname
84,2022-05-18,21:02:00.454323,1.0,100000.0,8.0,10.0,0.3,0.267,2.0,3.0,0.41895340758381305,0.007181146506094119,0.005046104347437377,10.0,115.66486477851868,E2W10-L8-9-10x.txt
86,2022-05-18,21:03:45.842008,1.0,100000.0,8.0,10.0,0.3,0.267,2.0,3.0,0.4237989504364141,0.004763924949741876,0.004680195429185755,10.0,105.38578915596008,E2W10-L8-9-10x.txt
87,2022-05-18,21:05:31.096491,1.0,100000.0,8.0,10.0,0.3,0.267,2.0,3.0,0.42285798935107305,0.0068773491517930725,0.004752419676964862,10.0,105.25250244140625,E2W10-L8-9-10x.txt
89,2022-05-18,21:07:14.412970,1.0,100000.0,8.0,10.0,0.3,0.267,2.0,3.0,0.4234140613592273,0.007759706132800983,0.00470294268796275,10.0,103.3134400844574,E2W10-L8-9-10x.txt
91,2022-05-18,21:08:51.578855,1.0,100000.0,8.0,10.0,0.3,0.267,2.0,3.0,0.4286868005909079,0.007456667640270578,0.004337129761620727,10.0,97.16326427459717,E2W10-L8-9-10x.txt
92,2022-05-18,21:10:28.901637,1.0,100000.0,8.0,10.0,0.3,0.267,2.0,3.0,0.42536331705960345,0.004548656289742315,0.004568712277214549,10.0,97.31714224815369,E2W10-L8-9-10x.txt
94,2022-05-18,21:12:12.733526,1.0,100000.0,8.0,10.0,0.3,0.267,2.0,3.0,0.42731855008788633,0.007065927029789609,0.004434120731423657,10.0,103.82956004142761,E2W10-L8-9-10x.txt
96,2022-05-18,21:13:56.566806,1.0,100000.0,8.0,10.0,0.3,0.267,2.0,3.0,0.4308680222496338,0.006294303568576398,0.004183300819699541,10.0,103.83084082603455,E2W10-L8-9-10x.txt
97,2022-05-18,21:15:40.723177,1.0,100000.0,8.0,10.0,0.3,0.267,2.0,3.0,0.4225661864873817,0.005491020996866254,0.004768184381095496,10.0,104.1541337966919,E2W10-L8-9-10x.txt
99,2022-05-18,21:17:23.974458,1.0,100000.0,8.0,10.0,0.3,0.267,2.0,3.0,0.4224035035475737,0.005470103698809363,0.0047835814072474305,10.0,103.24881148338318,E2W10-L8-9-10x.txt
134,2022-05-18,21:55:48.326952,1.0,100000.0,8.0,10.0,0.3,0.28,2.0,3.0,0.4043630476549879,0.004153561345733997,0.006391557795007115,10.0,132.5457739830017,E2W10-L8-9-10x.txt
135,2022-05-18,21:57:33.550459,1.0,100000.0,8.0,10.0,0.3,0.28,2.0,3.0,0.40345959795770003,0.005767964040942882,0.006466254160505175,10.0,105.22089076042175,E2W10-L8-9-10x.txt
137,2022-05-18,21:59:18.773278,1.0,100000.0,8.0,10.0,0.3,0.28,2.0,3.0,0.4023607420721668,0.006360813436833553,0.006587248756553434,10.0,105.18922281265259,E2W10-L8-9-10x.txt
139,2022-05-18,22:01:01.560067,1.0,100000.0,8.0,10.0,0.3,0.28,2.0,3.0,0.4047106821825253,0.00388808290267767,0.006346875692973312,10.0,102.78185272216797,E2W10-L8-9-10x.txt
140,2022-05-18,22:02:44.478793,1.0,100000.0,8.0,10.0,0.3,0.28,2.0,3.0,0.4054552394586341,0.005022923188852624,0.006271785882699913,10.0,102.91545534133911,E2W10-L8-9-10x.txt
142,2022-05-18,22:04:27.867419,1.0,100000.0,8.0,10.0,0.3,0.28,2.0,3.0,0.40445058911515414,0.00655543995154921,0.006379117959090095,10.0,103.38546133041382,E2W10-L8-9-10x.txt
144,2022-05-18,22:06:12.463234,1.0,100000.0,8.0,10.0,0.3,0.28,2.0,3.0,0.40391536346747126,0.004754098248362497,0.006430999223305429,10.0,104.58586692810059,E2W10-L8-9-10x.txt
