2022-02-01 20:29:49.835248 (1.0, 500000.0, 8, 10.0, [[0.41, 0.03], [0.41, 0.03]], 0.99, 0.0, 3) [0.6196864093639287 0.00020691894098929107] 1
2022-02-01 20:35:01.829984 (1.0, 500000.0, 8, 10.0, [[0.27, 0.03], [0.27, 0.03]], 0.99, 0.0, 3) [1.16934957283572 3.1437616535270139e-08] 1
2022-02-01 20:35:11.734914 (1.0, 500000.0, 8, 10.0, [[0.38, 0.03], [0.38, 0.03]], 0.99, 0.0, 3) [0.7119047148390328 4.7230642620406825e-05] 1
2022-02-01 22:04:01.323665 (1.0, 500000.0, 9, 10.0, [[0.32, 0.03], [0.32, 0.03]], 0.99, 0.0, 3) [0.9005497646558923 3.8018464277194349e-07] 1
2022-02-01 22:04:10.264630 (1.0, 500000.0, 9, 10.0, [[0.36, 0.03], [0.36, 0.03]], 0.99, 0.0, 3) [0.7470804274459981 6.0310893162998992e-06] 1
2022-02-01 22:04:12.814385 (1.0, 500000.0, 9, 10.0, [[0.26, 0.03], [0.26, 0.03]], 0.99, 0.0, 3) [1.1901476413523222 2.0811133374521783e-09] 1
2022-02-01 22:04:36.560910 (1.0, 500000.0, 9, 10.0, [[0.37, 0.03], [0.37, 0.03]], 0.99, 0.0, 3) [0.7110986130632213 1.1521079786919989e-05] 1
2022-02-01 22:04:40.025678 (1.0, 500000.0, 9, 10.0, [[0.38, 0.03], [0.38, 0.03]], 0.99, 0.0, 3) [0.6772782108711493 2.1168922512997946e-05] 1
2022-02-01 22:04:48.165911 (1.0, 500000.0, 9, 10.0, [[0.31, 0.03], [0.31, 0.03]], 0.99, 0.0, 3) [0.9442825478948946 1.7318136631205993e-07] 1
2022-02-01 22:07:03.891941 (1.0, 500000.0, 9, 10.0, [[0.34, 0.03], [0.34, 0.03]], 0.99, 0.0, 3) [0.8181379124592384 1.6766468818161752e-06] 1
2022-02-01 22:07:05.151530 (1.0, 500000.0, 9, 10.0, [[0.44, 0.03], [0.44, 0.03]], 0.99, 0.0, 3) [0.5057126490840305 0.00046560770501597961] 1
2022-02-01 22:07:17.978844 (1.0, 500000.0, 9, 10.0, [[0.28, 0.03], [0.28, 0.03]], 0.99, 0.0, 3) [1.0859997280174467 1.3551820265825801e-08] 1
2022-02-01 22:07:23.821166 (1.0, 500000.0, 9, 10.0, [[0.29, 0.03], [0.29, 0.03]], 0.99, 0.0, 3) [1.0343294354180952 3.4319729829834111e-08] 1
2022-02-01 22:07:32.493836 (1.0, 500000.0, 9, 10.0, [[0.4, 0.03], [0.4, 0.03]], 0.99, 0.0, 3) [0.6147195932530599 6.5271354402641354e-05] 1
2022-02-01 22:07:38.445677 (1.0, 500000.0, 9, 10.0, [[0.33, 0.03], [0.33, 0.03]], 0.99, 0.0, 3) [0.8586567289434566 8.0940015067393334e-07] 1
2022-02-01 22:09:15.525635 (1.0, 500000.0, 9, 10.0, [[0.39, 0.03], [0.39, 0.03]], 0.99, 0.0, 3) [0.645681101988628 3.7383937419272745e-05] 1
2022-02-01 22:09:17.468178 (1.0, 500000.0, 9, 10.0, [[0.43, 0.03], [0.43, 0.03]], 0.99, 0.0, 3) [0.5284433717502217 0.00030865805295661301] 1
2022-02-01 22:10:15.263753 (1.0, 500000.0, 9, 10.0, [[0.3, 0.03], [0.3, 0.03]], 0.99, 0.0, 3) [0.9874094229676226 7.9736905321392643e-08] 1
2022-02-01 22:10:31.715595 (1.0, 500000.0, 9, 10.0, [[0.41, 0.03], [0.41, 0.03]], 0.99, 0.0, 3) [0.5870025068250471 0.00010761297928322866] 1
2022-02-01 22:10:40.465075 (1.0, 500000.0, 9, 10.0, [[0.25, 0.03], [0.25, 0.03]], 0.99, 0.0, 3) [1.2508918160951141 6.9932794453968614e-10] 1
2022-02-01 22:10:55.736823 (1.0, 500000.0, 9, 10.0, [[0.45, 0.03], [0.45, 0.03]], 0.99, 0.0, 3) [0.48455884786071785 0.00068380054202604582] 1
2022-02-01 22:16:08.072511 (1.0, 500000.0, 9, 10.0, [[0.42, 0.03], [0.42, 0.03]], 0.99, 0.0, 3) [0.5597497024141058 0.00017598522946773448] 1
2022-02-01 22:16:28.291300 (1.0, 500000.0, 9, 10.0, [[0.27, 0.03], [0.27, 0.03]], 0.99, 0.0, 3) [1.1385374165410025 5.2726582172104262e-09] 1
2022-02-02 00:26:03.182501 (1.0, 500000.0, 10, 10.0, [[0.43, 0.03], [0.43, 0.03]], 0.99, 0.0, 3) [0.5037182487614491 0.00017585051054801922] 1
2022-02-02 00:26:09.282696 (1.0, 500000.0, 10, 10.0, [[0.28, 0.03], [0.28, 0.03]], 0.99, 0.0, 3) [1.0593230082001956 2.626677018522324e-09] 1
2022-02-02 00:26:25.798385 (1.0, 500000.0, 10, 10.0, [[0.41, 0.03], [0.41, 0.03]], 0.99, 0.0, 3) [0.5597011104911565 5.7322643317401985e-05] 1
2022-02-02 00:26:26.745759 (1.0, 500000.0, 10, 10.0, [[0.37, 0.03], [0.37, 0.03]], 0.99, 0.0, 3) [0.6826766187442496 4.8968603814002187e-06] 1
2022-02-02 00:26:53.668146 (1.0, 500000.0, 10, 10.0, [[0.44, 0.03], [0.44, 0.03]], 0.99, 0.0, 3) [0.4809370507178657 0.00027768945851682836] 1
2022-02-02 00:27:05.205968 (1.0, 500000.0, 10, 10.0, [[0.26, 0.03], [0.26, 0.03]], 0.99, 0.0, 3) [1.1678958030359576 3.0044116770215811e-10] 1
2022-02-02 00:27:28.600595 (1.0, 500000.0, 10, 10.0, [[0.39, 0.03], [0.39, 0.03]], 0.99, 0.0, 3) [0.6179132240482006 1.7884658958523917e-05] 1
2022-02-02 01:32:36.487896 (1.0, 500000.0, 8, 10.0, [[0.45, 0.03], [0.45, 0.03]], 0.99, 0.0, 3) [0.5164352235649439 0.0010836350576319659] 1
2022-02-02 01:32:52.927535 (1.0, 500000.0, 8, 10.0, [[0.33, 0.03], [0.33, 0.03]], 0.99, 0.0, 3) [0.8922591615097157 2.6384828974550214e-06] 1
2022-02-02 01:33:45.142125 (1.0, 500000.0, 8, 10.0, [[0.37, 0.03], [0.37, 0.03]], 0.99, 0.0, 3) [0.7426937602412909 2.8836279916185584e-05] 1
2022-02-02 01:34:03.549959 (1.0, 500000.0, 8, 10.0, [[0.35, 0.03], [0.35, 0.03]], 0.99, 0.0, 3) [0.8145888459247429 9.1265419577619513e-06] 1
2022-02-02 01:34:39.811516 (1.0, 500000.0, 8, 10.0, [[0.25, 0.03], [0.25, 0.03]], 0.99, 0.0, 3) [1.2783476178054003 5.5015021981083409e-09] 1
2022-02-02 01:35:19.394472 (1.0, 500000.0, 8, 10.0, [[0.44, 0.03], [0.44, 0.03]], 0.99, 0.0, 3) [0.5420349227655866 0.00071838932611625916] 1
2022-02-02 02:44:30.058294 (1.0, 500000.0, 10, 10.0, [[0.3, 0.03], [0.3, 0.03]], 0.99, 0.0, 3) [0.9615077213922664 1.8551248675880978e-08] 1
2022-02-02 02:44:30.583135 (1.0, 500000.0, 10, 10.0, [[0.4, 0.03], [0.4, 0.03]], 0.99, 0.0, 3) [0.587332660272466 3.297115243574381e-05] 1
2022-02-02 02:46:53.641936 (1.0, 500000.0, 10, 10.0, [[0.29, 0.03], [0.29, 0.03]], 0.99, 0.0, 3) [1.009902441745164 7.0541870428708884e-09] 1
2022-02-02 02:46:55.302483 (1.0, 500000.0, 10, 10.0, [[0.32, 0.03], [0.32, 0.03]], 0.99, 0.0, 3) [0.8712449851782549 1.1269827502378316e-07] 1
2022-02-02 02:47:43.345707 (1.0, 500000.0, 10, 10.0, [[0.31, 0.03], [0.31, 0.03]], 0.99, 0.0, 3) [0.9140801888602844 4.7805742308255375e-08] 1
2022-02-02 02:47:59.864618 (1.0, 500000.0, 10, 10.0, [[0.34, 0.03], [0.34, 0.03]], 0.99, 0.0, 3) [0.793483057841886 5.3365688189111216e-07] 1
2022-02-02 04:31:53.915004 (1.0, 500000.0, 11, 10.0, [[0.35, 0.03], [0.35, 0.03]], 0.99, 0.0, 3) [0.7292739754182416 4.4690396812068341e-07] 1
2022-02-02 04:32:11.444465 (1.0, 500000.0, 11, 10.0, [[0.34, 0.03], [0.34, 0.03]], 0.99, 0.0, 3) [0.7704682791545097 1.809500627419988e-07] 1
2022-02-02 04:33:12.367455 (1.0, 500000.0, 11, 10.0, [[0.43, 0.03], [0.43, 0.03]], 0.99, 0.0, 3) [0.480311760332369 0.00010713884666437815] 1
2022-02-02 07:43:18.807465 (1.0, 500000.0, 11, 10.0, [[0.3, 0.03], [0.3, 0.03]], 0.99, 0.0, 3) [0.9410461496466361 4.2485167098079975e-09] 1
2022-02-02 07:43:38.963895 (1.0, 500000.0, 11, 10.0, [[0.45, 0.03], [0.45, 0.03]], 0.99, 0.0, 3) [0.43246786271114607 0.00030754631286164714] 1
2022-02-02 07:52:52.206866 (1.0, 500000.0, 11, 10.0, [[0.26, 0.03], [0.26, 0.03]], 0.99, 0.0, 3) [1.1464016402987693 4.6558371503111413e-11] 1
2022-02-02 07:53:14.862613 (1.0, 500000.0, 11, 10.0, [[0.39, 0.03], [0.39, 0.03]], 0.99, 0.0, 3) [0.5941288484411823 8.7465314346659139e-06] 1
2022-02-02 07:54:51.249920 (1.0, 500000.0, 11, 10.0, [[0.42, 0.03], [0.42, 0.03]], 0.99, 0.0, 3) [0.5070207003775108 5.9556241381812654e-05] 1
2022-02-02 07:55:05.012241 (1.0, 500000.0, 11, 10.0, [[0.37, 0.03], [0.37, 0.03]], 0.99, 0.0, 3) [0.6598558557171289 2.0606453954760675e-06] 1
2022-02-02 07:57:21.585089 (1.0, 500000.0, 11, 10.0, [[0.32, 0.03], [0.32, 0.03]], 0.99, 0.0, 3) [0.8519050046936767 3.0181688725191988e-08] 1
2022-02-02 07:57:23.574625 (1.0, 500000.0, 11, 10.0, [[0.38, 0.03], [0.38, 0.03]], 0.99, 0.0, 3) [0.6270087482755388 4.2456070898010258e-06] 1
2022-02-02 07:57:25.793201 (1.0, 500000.0, 11, 10.0, [[0.27, 0.03], [0.27, 0.03]], 0.99, 0.0, 3) [1.092414678140816 1.5267501570033508e-10] 1
2022-02-02 07:57:38.450032 (1.0, 500000.0, 11, 10.0, [[0.41, 0.03], [0.41, 0.03]], 0.99, 0.0, 3) [0.5340917481373149 3.2801101292506941e-05] 1
2022-02-02 08:02:24.873987 (1.0, 500000.0, 11, 10.0, [[0.25, 0.03], [0.25, 0.03]], 0.99, 0.0, 3) [1.2039121680751943 1.317279875894469e-11] 1
2022-02-02 08:02:39.479223 (1.0, 500000.0, 11, 10.0, [[0.31, 0.03], [0.31, 0.03]], 0.99, 0.0, 3) [0.8922340171216898 1.2405897327233589e-08] 1
2022-02-02 08:08:48.838237 (1.0, 500000.0, 11, 10.0, [[0.29, 0.03], [0.29, 0.03]], 0.99, 0.0, 3) [0.9909925052847172 1.418781152344537e-09] 1
2022-02-02 08:08:59.029854 (1.0, 500000.0, 11, 10.0, [[0.36, 0.03], [0.36, 0.03]], 0.99, 0.0, 3) [0.6954940247110363 9.4128738024100687e-07] 1
2022-02-02 14:05:24.959573 (1.0, 500000.0, 12, 10.0, [[0.28, 0.03], [0.28, 0.03]], 0.99, 0.0, 3) [1.0226083791890406 9.1542496669932371e-11] 1
2022-02-02 14:20:44.128291 (1.0, 500000.0, 11, 10.0, [[0.28, 0.03], [0.28, 0.03]], 0.99, 0.0, 3) [1.0406926769708857 4.7611570402934067e-10] 1
2022-02-02 14:25:25.062152 (1.0, 500000.0, 11, 10.0, [[0.44, 0.03], [0.44, 0.03]], 0.99, 0.0, 3) [0.4583485375150341 0.00017426568079182808] 1
2022-02-02 14:30:07.584210 (1.0, 500000.0, 11, 10.0, [[0.4, 0.03], [0.4, 0.03]], 0.99, 0.0, 3) [0.5658105912431916 1.6339936703672774e-05] 1
2022-02-02 14:32:01.255172 (1.0, 500000.0, 11, 10.0, [[0.33, 0.03], [0.33, 0.03]], 0.99, 0.0, 3) [0.8069840516358543 8.0863545403466323e-08] 1
2022-02-02 15:52:19.773914 (1.0, 500000.0, 10, 10.0, [[0.38, 0.03], [0.38, 0.03]], 0.99, 0.0, 3) [0.6508159189366867 9.2581493712580536e-06] 1
2022-02-02 16:01:51.033263 (1.0, 500000.0, 10, 10.0, [[0.36, 0.03], [0.36, 0.03]], 0.99, 0.0, 3) [0.7184192451844871 2.396496434865053e-06] 1
2022-02-02 16:02:04.794492 (1.0, 500000.0, 10, 10.0, [[0.42, 0.03], [0.42, 0.03]], 0.99, 0.0, 3) [0.5311597236896787 0.00010154920374720854] 1
2022-02-02 16:02:27.111400 (1.0, 500000.0, 10, 10.0, [[0.45, 0.03], [0.45, 0.03]], 0.99, 0.0, 3) [0.4563865406123245 0.0004545228673001313] 1
2022-02-02 16:03:02.199522 (1.0, 500000.0, 10, 10.0, [[0.33, 0.03], [0.33, 0.03]], 0.99, 0.0, 3) [0.828561345039813 2.6414404235210946e-07] 1
2022-02-02 16:04:11.563504 (1.0, 500000.0, 10, 10.0, [[0.35, 0.03], [0.35, 0.03]], 0.99, 0.0, 3) [0.752511056550863 1.2092752205555887e-06] 1
2022-02-02 16:04:23.693886 (1.0, 500000.0, 10, 10.0, [[0.27, 0.03], [0.27, 0.03]], 0.99, 0.0, 3) [1.112266267101568 9.1260921213871778e-10] 1
2022-02-02 16:05:17.830679 (1.0, 500000.0, 10, 10.0, [[0.25, 0.03], [0.25, 0.03]], 0.99, 0.0, 3) [1.2273701987552426 9.1676072165762337e-11] 1
2022-02-02 18:18:21.452425 (1.0, 500000.0, 12, 10.0, [[0.45, 0.03], [0.45, 0.03]], 0.99, 0.0, 3) [0.4137110585096111 0.00020319133021893379] 1
2022-02-02 18:19:22.852702 (1.0, 500000.0, 12, 10.0, [[0.33, 0.03], [0.33, 0.03]], 0.99, 0.0, 3) [0.7886075256088191 2.5019461127277661e-08] 1
2022-02-02 18:20:54.469941 (1.0, 500000.0, 12, 10.0, [[0.41, 0.03], [0.41, 0.03]], 0.99, 0.0, 3) [0.5164785935637192 1.7202880248137122e-05] 1
2022-02-02 18:21:10.092221 (1.0, 500000.0, 12, 10.0, [[0.34, 0.03], [0.34, 0.03]], 0.99, 0.0, 3) [0.749271097600986 6.427546357710292e-08] 1
2022-02-02 18:21:40.546546 (1.0, 500000.0, 12, 10.0, [[0.4, 0.03], [0.4, 0.03]], 0.99, 0.0, 3) [0.5461336106162399 8.4384579911349217e-06] 1
2022-02-02 18:22:31.484529 (1.0, 500000.0, 12, 10.0, [[0.27, 0.03], [0.27, 0.03]], 0.99, 0.0, 3) [1.072775345925784 2.7456016859381757e-11] 1
2022-02-02 18:23:43.166367 (1.0, 500000.0, 12, 10.0, [[0.38, 0.03], [0.38, 0.03]], 0.99, 0.0, 3) [0.6069800879121805 1.9576134899729938e-06] 1
2022-02-02 18:23:59.979887 (1.0, 500000.0, 12, 10.0, [[0.32, 0.03], [0.32, 0.03]], 0.99, 0.0, 3) [0.8314151465115299 8.9653827691816599e-09] 1
2022-02-02 18:25:12.713000 (1.0, 500000.0, 12, 10.0, [[0.29, 0.03], [0.29, 0.03]], 0.99, 0.0, 3) [0.9695891780822782 3.2603565800599851e-10] 1
2022-02-02 18:25:26.555735 (1.0, 500000.0, 12, 10.0, [[0.39, 0.03], [0.39, 0.03]], 0.99, 0.0, 3) [0.5759698757922661 4.1229366065762653e-06] 1
2022-02-02 18:26:23.677675 (1.0, 500000.0, 12, 10.0, [[0.35, 0.03], [0.35, 0.03]], 0.99, 0.0, 3) [0.7125683894900957 1.5549214692134992e-07] 1
2022-02-02 18:27:50.939588 (1.0, 500000.0, 12, 10.0, [[0.37, 0.03], [0.37, 0.03]], 0.99, 0.0, 3) [0.6425207778140735 8.3370584896377102e-07] 1
2022-02-02 18:30:47.207759 (1.0, 500000.0, 12, 10.0, [[0.42, 0.03], [0.42, 0.03]], 0.99, 0.0, 3) [0.4895524608351539 3.2824785875593269e-05] 1
2022-02-02 18:30:53.335553 (1.0, 500000.0, 12, 10.0, [[0.25, 0.03], [0.25, 0.03]], 0.99, 0.0, 3) [1.1870857330473052 1.7764881148914021e-12] 1
2022-02-02 18:31:52.678925 (1.0, 500000.0, 12, 10.0, [[0.43, 0.03], [0.43, 0.03]], 0.99, 0.0, 3) [0.4613735663645609 6.4552809349627317e-05] 1
2022-02-02 18:32:04.809874 (1.0, 500000.0, 12, 10.0, [[0.26, 0.03], [0.26, 0.03]], 0.99, 0.0, 3) [1.1301284664018232 6.963335688750393e-12] 1
2022-02-02 18:34:51.546180 (1.0, 500000.0, 12, 10.0, [[0.36, 0.03], [0.36, 0.03]], 0.99, 0.0, 3) [0.6739605954015097 3.9172627989809805e-07] 1
2022-02-02 18:36:49.810474 (1.0, 500000.0, 12, 10.0, [[0.31, 0.03], [0.31, 0.03]], 0.99, 0.0, 3) [0.8751952204144595 3.1396866896503672e-09] 1
2022-02-02 18:38:28.448632 (1.0, 500000.0, 12, 10.0, [[0.3, 0.03], [0.3, 0.03]], 0.99, 0.0, 3) [0.9210716478228076 1.0443715701835766e-09] 1
2022-02-02 18:40:18.475870 (1.0, 500000.0, 12, 10.0, [[0.44, 0.03], [0.44, 0.03]], 0.99, 0.0, 3) [0.4384766831770409 0.00011216151721563088] 1
2022-02-02 19:55:23.680291 (1.0, 500000.0, 13, 10.0, [[0.38, 0.03], [0.38, 0.03]], 0.99, 0.0, 3) [0.5910046993939069 8.7966983569408005e-07] 1
2022-02-02 19:57:23.204515 (1.0, 500000.0, 13, 10.0, [[0.34, 0.03], [0.34, 0.03]], 0.99, 0.0, 3) [0.732521012858201 2.2212619588897939e-08] 1
2022-02-02 20:01:07.786316 (1.0, 500000.0, 13, 10.0, [[0.32, 0.03], [0.32, 0.03]], 0.99, 0.0, 3) [0.8150358734517474 2.6008431851728889e-09] 1
2022-02-02 23:11:29.895456 (1.0, 500000.0, 14, 10.0, [[0.25, 0.03], [0.25, 0.03]], 0.99, 0.0, 3) [1.1611142001517698 3.1812233718853363e-14] 1
2022-02-02 23:12:00.463083 (1.0, 500000.0, 14, 10.0, [[0.37, 0.03], [0.37, 0.03]], 0.99, 0.0, 3) [0.6094531576205566 1.6053698207904699e-07] 1
2022-02-02 23:13:30.176393 (1.0, 500000.0, 14, 10.0, [[0.33, 0.03], [0.33, 0.03]], 0.99, 0.0, 3) [0.7602919448276988 2.3553682267607141e-09] 1
2022-02-02 23:14:54.527760 (1.0, 500000.0, 14, 10.0, [[0.34, 0.03], [0.34, 0.03]], 0.99, 0.0, 3) [0.718640406189489 7.552610605655619e-09] 1
2022-02-03 01:39:21.872850 (1.0, 500000.0, 13, 10.0, [[0.39, 0.03], [0.39, 0.03]], 0.99, 0.0, 3) [0.5607405001385745 1.9343330084187936e-06] 1
2022-02-03 01:39:29.108784 (1.0, 500000.0, 13, 10.0, [[0.26, 0.03], [0.26, 0.03]], 0.99, 0.0, 3) [1.1127467972321932 1.1381813064154523e-12] 1
2022-02-03 01:41:27.326069 (1.0, 500000.0, 13, 10.0, [[0.41, 0.03], [0.41, 0.03]], 0.99, 0.0, 3) [0.4983818421732941 9.7836790059052698e-06] 1
2022-02-03 01:41:44.495579 (1.0, 500000.0, 13, 10.0, [[0.45, 0.03], [0.45, 0.03]], 0.99, 0.0, 3) [0.3985776093042138 0.00013150985233671011] 1
2022-02-03 01:49:17.881908 (1.0, 500000.0, 13, 10.0, [[0.43, 0.03], [0.43, 0.03]], 0.99, 0.0, 3) [0.4466710812693832 3.7612407811467326e-05] 1
2022-02-03 01:49:46.577246 (1.0, 500000.0, 13, 10.0, [[0.36, 0.03], [0.36, 0.03]], 0.99, 0.0, 3) [0.6583718389978305 1.5252778120103925e-07] 1
2022-02-03 01:52:18.870725 (1.0, 500000.0, 13, 10.0, [[0.33, 0.03], [0.33, 0.03]], 0.99, 0.0, 3) [0.7731568330913279 7.7198140918871955e-09] 1
2022-02-03 01:53:25.856297 (1.0, 500000.0, 13, 10.0, [[0.42, 0.03], [0.42, 0.03]], 0.99, 0.0, 3) [0.47245835572826 1.9201112135209153e-05] 1
2022-02-03 02:03:50.628196 (1.0, 500000.0, 13, 10.0, [[0.27, 0.03], [0.27, 0.03]], 0.99, 0.0, 3) [1.0594944780834963 4.5483831737213422e-12] 1
2022-02-03 02:04:00.305444 (1.0, 500000.0, 13, 10.0, [[0.29, 0.03], [0.29, 0.03]], 0.99, 0.0, 3) [0.9532243375882286 7.1807527186955015e-11] 1
2022-02-03 02:06:47.969442 (1.0, 500000.0, 13, 10.0, [[0.35, 0.03], [0.35, 0.03]], 0.99, 0.0, 3) [0.6938914947015733 6.0540519815499116e-08] 1
2022-02-03 02:07:38.177895 (1.0, 500000.0, 13, 10.0, [[0.3, 0.03], [0.3, 0.03]], 0.99, 0.0, 3) [0.9066174174841345 2.4098833262024883e-10] 1
2022-02-03 06:45:30.080917 (1.0, 500000.0, 14, 10.0, [[0.38, 0.03], [0.38, 0.03]], 0.99, 0.0, 3) [0.5759178436959874 4.1115122138532985e-07] 1
2022-02-03 06:45:47.845999 (1.0, 500000.0, 14, 10.0, [[0.31, 0.03], [0.31, 0.03]], 0.99, 0.0, 3) [0.8464145293582565 2.1160404818841022e-10] 1
2022-02-03 06:47:54.138755 (1.0, 500000.0, 14, 10.0, [[0.42, 0.03], [0.42, 0.03]], 0.99, 0.0, 3) [0.457952438952355 1.1187258791231334e-05] 1
