,date,time,eps,Lz,L,W,tLow,c,E,dim,lyap,std,g,reals,runtime,fname
27,2022-05-19,02:16:27.615625,1.0,125000.0,28.0,10.0,0.3,0.297,2.0,3.0,0.10811219801222835,0.002938292088616032,0.009457747211765361,1.0,21038.55389904976,LZTEST.txt
28,2022-05-19,04:28:16.147872,1.0,100000.0,28.0,10.0,0.3,0.294,2.0,3.0,0.11726161672130256,0.0032499274748241432,0.0056971639443895135,1.0,16480.486873865128,LZTEST.txt
29,2022-05-19,05:07:29.154371,1.0,200000.0,28.0,10.0,0.3,0.3,2.0,3.0,0.10725358304361104,0.002383198021623923,0.009940232969403096,1.0,34667.01019358635,LZTEST.txt
30,2022-05-19,05:23:04.067444,1.0,75000.0,28.0,10.0,0.3,0.327,2.0,3.0,0.07828571836926436,0.002654157233515398,0.049625654694745586,1.0,14055.115417957306,LZTEST.txt
31,2022-05-19,07:50:30.520049,1.0,125000.0,28.0,10.0,0.3,0.294,2.0,3.0,0.11619114925551803,0.0024885956738704552,0.0060479345212255484,1.0,20035.613777399063,LZTEST.txt
32,2022-05-19,08:32:25.679814,1.0,175000.0,28.0,10.0,0.3,0.292,2.0,3.0,0.12050257022041702,0.001998963973018666,0.0047523967654982124,1.0,28672.211247444153,LZTEST.txt
33,2022-05-19,08:51:51.711056,1.0,100000.0,28.0,10.0,0.3,0.28,2.0,3.0,0.13559178086694249,0.0031129850023064467,0.0020372278027449282,1.0,15810.218013048172,LZTEST.txt
34,2022-05-19,13:13:32.125803,1.0,100000.0,28.0,10.0,0.3,0.3,2.0,3.0,0.10797719889765119,0.004637074730577414,0.009542525771452443,1.0,15692.760217905045,LZTEST.txt
35,2022-05-19,13:18:58.674243,1.0,125000.0,28.0,10.0,0.3,0.327,2.0,3.0,0.07870043579255312,0.0023468719175414945,0.0484451556765293,1.0,19697.877772569656,LZTEST.txt
36,2022-05-19,15:51:33.475576,1.0,200000.0,28.0,10.0,0.3,0.294,2.0,3.0,0.11517364633087325,0.001548939703912107,0.00639629555436819,1.0,38639.50675058365,LZTEST.txt
37,2022-05-19,16:16:57.875652,1.0,175000.0,28.0,10.0,0.3,0.294,2.0,3.0,0.11551425967899363,0.002652012304652025,0.006276624155564741,1.0,27865.86926651001,LZTEST.txt
38,2022-05-19,17:36:04.188213,1.0,100000.0,28.0,10.0,0.3,0.327,2.0,3.0,0.07745174734781035,0.004651098300063447,0.051937738380704465,1.0,15745.176427602768,LZTEST.txt
39,2022-05-19,18:44:46.828787,1.0,125000.0,28.0,10.0,0.3,0.302,2.0,3.0,0.10631628471714621,0.003573206039919165,0.010503709983902928,1.0,19542.078358650208,LZTEST.txt
40,2022-05-19,23:32:01.984561,1.0,175000.0,28.0,10.0,0.3,0.288,2.0,3.0,0.12256472351894325,0.002961913635670146,0.0042239336058223585,1.0,26082.397279024124,LZTEST.txt
41,2022-05-20,00:15:12.141522,1.0,125000.0,28.0,10.0,0.3,0.288,2.0,3.0,0.12439289949470085,0.002803099558355633,0.0038124136662425687,1.0,19812.50190782547,LZTEST.txt
42,2022-05-20,00:58:38.901859,1.0,200000.0,28.0,10.0,0.3,0.314,2.0,3.0,0.09357136647786508,0.002686575134925341,0.02137262416142513,1.0,32815.520493507385,LZTEST.txt
